year,month,day,state,state_code,magnitude,injuries,fatalities,start_latitude,start_longitude,end_latitude,e_longitude,track_length_miles,track_width_yards,states_affected,fc
2000,10,13,IA,19,1,0,0,42.83,-94.7,42.93,-94.5,14,50,1,0
2000,10,20,KS,20,0,0,0,37.67,-100.12,37.65,-100.13,1,100,1,0
2000,10,21,OK,40,0,0,0,34.32,-98.32,34.37,-98.32,4,30,1,0
2000,10,22,TX,48,0,0,0,28.8,-97.03,28.8,-97.03,0.3,0,1,0
2000,10,22,TX,48,0,0,0,32.23,-98.55,32.27,-98.53,2.5,20,1,0
2000,10,22,OK,40,0,0,0,35.25,-98.25,35.35,-98.23,4,30,1,0
2000,10,22,TX,48,0,0,0,29.8,-97.82,29.8,-97.82,0.2,30,1,0
2000,10,22,OK,40,0,0,0,35.53,-98.08,35.53,-98.08,0.2,30,1,0
2000,10,22,OK,40,0,0,0,34.68,-96.55,34.72,-96.55,2.5,20,1,0
2000,10,22,OK,40,0,0,0,34.82,-96.52,34.82,-96.52,0.1,10,1,0
2000,10,22,OK,40,1,0,0,35.38,-97.53,35.4,-97.5,1.5,40,1,0
2000,10,22,OK,40,0,0,0,35.43,-97.5,35.48,-97.52,3,20,1,0
2000,10,23,TX,48,0,0,0,29.42,-98.63,29.42,-98.63,0.5,100,1,0
2000,10,23,NM,35,0,0,0,36.92,-108.18,36.92,-108.18,0.1,20,1,0
2000,10,23,NM,35,0,0,0,36.92,-108.18,36.92,-108.18,0.1,20,1,0
2000,10,23,TX,48,0,0,0,35.15,-101.75,35.27,-101.73,0.4,50,1,0
2000,10,24,KS,20,0,0,0,37.85,-98.75,37.85,-98.75,0.4,40,1,0
2000,10,24,TX,48,0,0,0,32.05,-102.08,32.05,-102.08,0.1,50,1,0
2000,10,25,KS,20,0,0,0,37.73,-99.8,37.7,-99.83,1.5,150,1,0
2000,10,27,KS,20,0,0,0,37.83,-100.4,37.83,-100.4,0.2,80,1,0
2000,10,28,KS,20,1,0,0,38.83,-100.48,38.87,-100.48,2,70,1,0
2000,10,28,KS,20,1,0,0,38.95,-100.48,38.97,-100.48,1,70,1,0
2000,10,28,KS,20,0,0,0,39.22,-100.43,39.23,-100.43,1,50,1,0
2000,10,28,KS,20,0,0,0,38.98,-99.92,38.98,-99.92,0.4,70,1,0
2000,10,28,KS,20,0,0,0,39.18,-99.98,39.18,-99.98,0.7,50,1,0
2000,10,28,KS,20,0,0,0,39.3,-100.02,39.3,-100.02,0.5,50,1,0
2000,10,28,KS,20,0,0,0,39.83,-100.07,39.83,-100.07,0.5,50,1,0
2000,10,28,TX,48,0,0,0,30.3,-100.63,30.27,-100.63,3,20,1,0
2000,10,28,TX,48,0,0,0,30.37,-100.4,30.37,-100.4,0.1,20,1,0
2000,10,29,NE,31,0,0,0,40.58,-98.23,40.6,-98.23,1,10,1,0
2000,10,29,NE,31,0,0,0,40.77,-98.12,40.78,-98.11,0.5,10,1,0
2000,10,29,NE,31,0,0,0,41.22,-97.87,41.32,-97.92,7,40,1,0
2000,10,29,NE,31,1,0,0,41.37,-97.87,41.48,-97.83,9,100,1,0
2000,10,29,NE,31,0,0,0,41.2,-97.28,41.28,-97.25,3,50,1,0
2000,10,29,NE,31,0,0,0,40.83,-97.2,40.83,-97.2,0.1,30,1,0
2000,10,29,NE,31,0,0,0,40.63,-96.22,40.65,-96.22,2.5,50,1,0
2000,10,29,NE,31,0,0,0,40.63,-96.23,40.65,-96.23,1,40,1,0
