OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,acres_burned,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,shape__Area,shape__Length
15,BLM,"GPS walked, driven",GPS-Walked/ Driven,9/12/2008 0:00,2008-IDEIX-008022,2008,Caribou,,8/30/2008 3:38,633.0488432,,EJP7,,IDIFD,ID,,8022,,N,,4760216.258,12083.50569
76,BLM,,Unknown,1/7/2013 0:00,2006-IDTFD-001219,2006,Eastern Idaho Railroad #2,,6/16/2006 0:00,63.38185828,,CP5N,,IDTFD,ID,,1219,,N,,472482.5664,5312.026846
91,BLM,,Unkown,8/25/2005 0:00,2005-AKUYD-000320,2005,Beaver Creek,,8/24/2005 0:00,165705.7201,,,,AKUYD,AK,,320,,N,,3910002446,1016384.535
113,BLM,,Unknown,6/3/2005 0:00,2005-AKSWS-000132,2005,Washington Creek,,5/31/2005 1:00,6166.319773,,,,AKUNK,AK,,132,,N,,123643246.7,85338.1968
154,State agency,DOFFire 012230; named 'Fire 230' in FireCode,Unknown,6/3/2010 0:00,2010-AKFAS-011230,2010,Granite Tors,,6/2/2010 0:00,7886.428245,,FE4E,,AKFAS,AK,,11230,,N,,175178357.8,76307.28459
155,State agency,Named 'Hwy 11' in FireCode,Unknown,2/15/2012 0:00,2010-MNMNS-221009,2010,Highway 11,,4/15/2010 21:00,112.6356488,,FB79,,MNMNS,MN,,221009,,N,,991032.2578,8663.143015
157,BLM,GPS-Walk,GPS-Walked,2/12/2013 0:00,2010-NVCCD-001055,2010,Alexander,,9/14/2010 0:00,86.06518274,,FU72,,NVCCD,NV,,1055,,N,,585092.1016,4373.616924
158,State Agency,GPS air; No entry in FireCode,GPS-Flight,4/14/2011 0:00,2010-CABTU-007746,2010,Palermo,,7/4/2010 0:00,672.0052034,,,,CABTU,CA,,7746,,N,,4565710.746,10510.9684
159,NPS,GPS ground; No entry in FireCode,GPS-Walked/ Driven,4/14/2011 0:00,2010-CASMP-000397,2010,Deer Creek,,5/29/2010 0:00,3.62812152,,,,CASMP,CA,,397,,N,,21460.30078,795.4053525
160,USFS,Unknown collection method; No entry in FireCode,Unknown,4/14/2011 0:00,2010-CAKNF-005379,2010,Tamarack,,7/26/2010 0:00,10.10078134,,,,CAKNF,CA,,5379,,N,,73151.03125,1611.432441
