fid,USGS_ID,Date_Min,lsyear,Fatalities,Confidence,cleanedtype,LS_Type,LS_Type_Category,latitude,longitude
90364,pt90364,5/2/2002,2002,,5,,Bedrock Rotational Slide,Other,42.7533,-98.0781
90377,pt90377,3/1/2004,2004,,5,,Bedrock Rotational Slide,Other,42.8281,-98.2878
90376,pt90376,4/1/2004,2004,,5,,Bedrock Rotational Slide,Other,42.8281,-98.2908
90286,pt90286,6/9/2004,2004,,5,,Bedrock Rotational Slide,Other,42.6953,-96.8403
90287,pt90287,6/9/2004,2004,,5,,Bedrock Rotational Slide,Other,42.6953,-96.8403
90378,pt90378,3/1/2005,2005,,5,,Bedrock Rotational Slide,Other,42.7556,-98.0786
90382,pt90382,3/1/2005,2005,,5,,Bedrock Rotational Slide,Other,42.7094,-97.9014
90383,pt90383,3/1/2005,2005,,5,,Bedrock Rotational Slide,Other,42.7108,-97.9031
10861,pt10861,1/1/2005,2005,,8,,combination debris avalanche and debris torrent,Other,55.54801877,-131.2603847
15334,pt15334,11/1/2008,2008,,8,,combination debris avalanche and debris torrent,Other,57.10217435,-135.3775746
190490,pt190490,2/27/2007,2007,,2,,complex,Other,37.7923,-122.4629
191806,pt191806,8/19/2007,2007,,2,,complex,Other,43.6796,-91.2194
190362,pt190362,11/2/2007,2007,,2,,complex,Other,45.6706,-121.9383
192405,pt192405,12/3/2007,2007,,2,,complex,Other,47.6373,-122.3406
189928,pt189928,12/4/2007,2007,,2,,complex,Other,43.6768,-123.8673
192853,pt192853,5/22/2008,2008,,2,,complex,Other,33.7112,-117.6428
191855,pt191855,6/8/2008,2008,,2,,complex,Other,22.2139,-159.5233
192565,pt192565,7/3/2008,2008,,2,,complex,Other,47.54,-122.1
191207,pt191207,8/7/2008,2008,,2,,complex,Other,33.047,-116.833
191041,pt191041,10/10/2008,2008,,2,,complex,Other,45.5887,-122.0698
191018,pt191018,11/3/2008,2008,,2,,complex,Other,36.27,-121.8076
191536,pt191536,11/22/2008,2008,,2,,complex,Other,21.555,-158.2475
191372,pt191372,12/22/2008,2008,,2,,complex,Other,48.3438,-124.518
191728,pt191728,12/22/2008,2008,,2,,complex,Other,32.8273,-116.8487
